STATE/UT,Year,Murder,Rape,Kidnapping and Abduction,Foeticide,Abetment of suicide,Exposure and abandonment,Procuration of minor girls,Buying of girls for prostitution,Selling of girls for prostitution,Prohibition of child marriage act,Other Crimes,Total,Area (km2),Average Literacy Rate %,Literacy Rate % (Males),Literacy Rate % (Females),Population
ANDHRA PRADESH,2001,35,84,57,0,7,22,12,0,0,6,47,270,"1,62,975",61.11,70.85,51.17,"7,57,28,400"
ARUNACHAL PRADESH,2001,0,0,0,0,0,0,0,0,0,0,0,0,"83,743",54.74,64.07,44.24,"10,98,328"
ASSAM,2001,0,0,18,0,0,0,0,0,0,0,0,18,"78,438",64.28,71.93,56.03,"2,66,38,600"
BIHAR,2001,2,16,26,0,0,1,16,1,1,2,18,83,"94,163",47.53,60.32,33.57,"8,28,79,910"
CHHATTISGARH,2001,0,37,13,0,0,5,0,0,0,0,50,105,"1,35,192",65.18,77.86,52.4,"2,08,34,530"
GOA,2001,1,10,6,0,0,3,2,0,0,0,12,34,"3,702",82.32,88.88,75.51,"13,48,900"
GUJARAT,2001,78,39,120,4,0,112,18,0,0,11,190,572,"1,96,024",69.97,81,58.6,"5,05,97,200"
HARYANA,2001,31,108,124,3,0,16,5,0,2,0,74,363,"44,212",68.59,79.25,56.31,"2,10,83,900"
HIMACHAL PRADESH,2001,5,35,20,0,0,15,0,0,0,0,7,82,"55,673",77.13,86.02,68.08,"60,77,453"
JAMMU & KASHMIR,2001,2,6,15,0,0,4,0,0,0,0,1,28,"42,241",54.46,65.75,41.82,"1,00,70,300"
JHARKHAND,2001,5,11,4,0,0,0,1,0,0,0,20,41,"79,716",54.13,67.94,39.38,"2,69,46,070"
KARNATAKA,2001,3,18,18,1,0,15,1,0,2,1,9,68,"1,91,791",67.04,76.29,57.45,"5,27,34,986"
KERALA,2001,76,64,28,0,0,9,4,0,0,3,63,247,"38,863",90.92,94.2,87.86,"3,18,39,000"
MADHYA PRADESH,2001,103,390,100,7,8,69,4,0,0,4,740,1425,"3,08,252",64.11,76.8,50.28,"6,03,85,090"
MAHARASHTRA,2001,203,367,210,17,4,281,21,1,1,43,473,1621,"3,07,713",77.27,86.27,67.51,"9,67,52,500"
MANIPUR,2001,0,0,0,0,0,0,0,0,0,0,0,0,"22,327",68.87,77.87,59.7,"22,94,480"
MEGHALAYA,2001,0,0,0,0,0,0,0,0,0,0,0,0,"22,429",63.31,66.14,60.41,"23,06,540"
MIZORAM,2001,0,0,0,0,0,0,0,0,0,0,0,0,"21,081",88.49,90.69,86.13,"8,89,690"
NAGALAND,2001,0,0,0,0,0,0,0,0,0,0,0,0,"16,579",67.11,71.77,61.92,"19,90,275"
ODISHA,2001,2,17,22,0,4,1,0,0,0,0,22,68,"1,55,707",63.61,75.95,50.97,"3,67,07,900"
PUNJAB,2001,20,38,35,7,0,3,7,0,0,0,13,123,"50,362",69.95,75.63,63.55,"2,42,89,130"
RAJASTHAN,2001,19,35,62,8,1,54,0,0,0,10,29,218,"3,42,239",61.03,76.46,44.34,"5,64,73,300"
SIKKIM,2001,1,4,0,0,0,0,0,0,0,0,0,5,"7,096",69.68,76.73,61.46,"5,41,902"
TAMIL NADU,2001,24,20,7,0,1,1,0,0,0,0,8,61,"1,30,058",73.47,82.33,64.55,"6,21,11,390"
TRIPURA,2001,0,0,0,0,0,0,0,0,0,0,0,0,"10,491",73.66,81.47,65.41,"31,91,880"
UTTAR PRADESH,2001,489,562,1185,1,0,0,29,1,1,1,1440,3709,"2,40,928",57.36,70.23,42.98,"16,60,53,600"
UTTARAKHAND,2001,9,9,16,0,0,0,7,0,0,0,5,46,"53,483",72.28,84.01,60.26,"84,89,100"
WEST BENGAL,2001,3,12,86,0,0,0,9,3,2,0,52,167,"88,752",69.22,77.58,60.22,"8,02,21,300"
A & N ISLANDS,2001,0,0,0,0,0,0,0,0,0,0,0,0,"8,249",81.18,86.07,75.29,"3,56,650"
CHANDIGARH,2001,0,8,32,0,0,5,0,0,0,2,11,58,114,81.76,85.65,76.65,"9,01,080"
D & N HAVELI,2001,0,0,0,0,0,0,0,0,0,0,0,0,491,60.03,73.32,42.99,"2,20,963"
DAMAN & DIU,2001,0,0,0,0,0,0,0,0,0,0,0,0,112,81.09,88.4,70.37,"1,58,080"
DELHI,2001,22,113,612,2,0,60,3,0,1,0,99,912,"1,484",81.82,87.37,75,"1,38,51,503"
LAKSHADWEEP,2001,1,0,0,0,0,0,0,0,0,0,0,1,32,87.52,93.15,81.56,"61,300"
PUDUCHERRY,2001,1,4,0,0,0,0,0,0,0,0,0,5,479,81.49,88.89,74.13,"9,74,820"
ANDHRA PRADESH,2002,43,137,86,0,13,5,9,1,0,6,33,333,"1,62,975",61.95,71.82,51.87,"7,67,65,879"
ARUNACHAL PRADESH,2002,0,3,3,0,0,0,0,0,0,0,0,6,"83,743",55.49,64.95,44.85,"11,13,375"
ASSAM,2002,2,3,1,0,0,0,6,0,0,1,1,14,"78,438",65.16,72.92,56.8,"2,70,03,548"
BIHAR,2002,10,3,26,1,0,1,9,0,0,1,6,57,"94,163",48.18,61.15,34.03,"8,40,15,364"
CHHATTISGARH,2002,28,182,45,0,1,17,0,0,0,26,434,733,"1,35,192",66.07,78.93,53.12,"2,11,19,963"
GOA,2002,2,7,4,0,0,5,2,0,0,0,11,31,"3,702",83.45,90.1,76.54,"13,67,379"
GUJARAT,2002,68,67,273,9,1,76,0,0,0,38,178,710,"1,96,024",70.93,82.11,59.4,"5,12,90,381"
HARYANA,2002,22,84,54,6,0,15,0,0,1,1,52,235,"44,212",69.53,80.34,57.08,"2,13,72,749"
HIMACHAL PRADESH,2002,5,26,24,6,0,8,3,0,0,3,16,91,"55,673",78.19,87.2,69.01,"61,60,714"
JAMMU & KASHMIR,2002,2,7,23,2,0,4,0,0,0,0,4,42,"42,241",55.21,66.65,42.39,"1,02,08,263"
JHARKHAND,2002,3,43,21,0,0,0,5,0,0,0,39,111,"79,716",54.87,68.87,39.92,"2,73,15,231"
KARNATAKA,2002,28,19,23,7,0,10,7,0,1,1,18,114,"1,91,791",67.96,77.34,58.24,"5,34,57,455"
KERALA,2002,64,54,31,2,0,9,6,0,0,6,68,240,"38,863",92.17,95.49,89.06,"3,22,75,194"
MADHYA PRADESH,2002,94,517,154,4,1,91,5,0,1,2,1460,2329,"3,08,252",64.99,77.85,50.97,"6,12,12,365"
MAHARASHTRA,2002,248,491,275,10,6,282,34,8,1,18,487,1860,"3,07,713",78.33,87.45,68.43,"9,80,78,009"
MANIPUR,2002,0,0,0,0,0,0,0,0,0,0,0,0,"22,327",69.81,78.94,60.52,"23,25,914"
MEGHALAYA,2002,0,1,0,0,0,0,0,0,0,0,0,1,"22,429",64.18,67.05,61.24,"23,38,139"
MIZORAM,2002,0,0,0,0,0,0,0,0,0,0,0,0,"21,081",89.7,91.93,87.31,"9,01,878"
NAGALAND,2002,0,0,0,0,0,0,0,0,0,0,0,0,"16,579",68.03,72.75,62.77,"20,17,541"
ODISHA,2002,7,21,8,0,0,0,4,0,0,0,16,56,"1,55,707",64.48,76.99,51.67,"3,72,10,798"
PUNJAB,2002,13,52,62,10,0,0,5,0,0,1,18,161,"50,362",70.91,76.67,64.42,"2,46,21,891"
RAJASTHAN,2002,20,38,52,6,0,79,2,0,0,7,0,204,"3,42,239",61.87,77.51,44.95,"5,72,46,984"
SIKKIM,2002,2,4,0,0,0,0,0,0,0,0,0,6,"7,096",70.63,77.78,62.3,"5,49,326"
TAMIL NADU,2002,45,29,29,0,0,5,0,0,0,0,27,135,"1,30,058",74.48,83.46,65.43,"6,29,62,316"
TRIPURA,2002,0,0,0,0,0,0,0,0,0,0,0,0,10491,74.67,82.59,66.31,"32,35,608"
UTTAR PRADESH,2002,424,416,539,1,0,0,4,0,0,2,440,1826,"2,40,928",58.15,71.19,43.57,"16,83,28,534"
UTTARAKHAND,2002,7,8,3,0,0,0,9,0,0,0,0,27,"53,483",58.15,71.19,61.09,"86,05,400"
WEST BENGAL,2002,4,16,94,0,0,0,14,0,1,0,46,175,"88,752",70.17,85.16,61.05,"8,13,20,331"
A & N ISLANDS,2002,0,0,0,0,0,0,0,0,0,0,0,0,"8,249",82.29,78.64,76.32,"3,61,536"
CHANDIGARH,2002,3,6,22,0,1,8,0,0,0,0,9,49,114,82.88,87.25,77.7,"9,13,424"
D & N HAVELI,2002,0,0,0,0,0,0,0,0,0,0,0,0,491,60.85,86.82,43.58,"2,23,990"
DAMAN & DIU,2002,0,0,0,0,0,0,0,0,0,0,0,0,112,82.2,74.32,71.33,"1,60,245"
DELHI,2002,4,22,41,1,0,6,0,0,0,0,10,84,"1,484",82.94,89.61,76.03,"1,40,41,268"
